date,open,high,low,close,volume,amount,outstanding_share,turnover,stock_return,momentum_5,momentum_5_signal,momentum_5_position,momentum_10,momentum_10_signal,momentum_10_position,momentum_20,momentum_20_signal,momentum_20_position,momentum_40,momentum_40_signal,momentum_40_position,momentum_60,momentum_60_signal,momentum_60_position,momentum_120,momentum_120_signal,momentum_120_position,momentum_250,momentum_250_signal,momentum_250_position,momentum_5_test_position,momentum_5_test_return,momentum_10_test_position,momentum_10_test_return,momentum_20_test_position,momentum_20_test_return,momentum_40_test_position,momentum_40_test_return,momentum_60_test_position,momentum_60_test_return,momentum_120_test_position,momentum_120_test_return,momentum_250_test_position,momentum_250_test_return
2020-01-02,21.58,22.88,21.28,22.52,59706353.0,1364459563.0,1035914811.0,0.057636354231062344,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-03,22.65,23.04,21.87,22.56,54787378.0,1261416122.0,1035914811.0,0.052887918406255896,0.001776198934280604,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-06,22.36,23.37,22.09,22.96,65388993.0,1534784505.0,1035914811.0,0.06312197905238755,0.0177304964539009,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-07,22.99,23.0,21.99,22.39,68532475.0,1568869490.0,1035914811.0,0.0661564776102038,-0.024825783972125426,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-08,22.01,22.01,21.01,21.1,71653575.0,1566318506.0,1035914811.0,0.06916937014427917,-0.057615006699419324,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-09,21.38,21.74,21.23,21.58,37094575.0,815925409.0,1035914811.0,0.035808518814584266,0.022748815165876568,-0.04174067495559508,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-10,21.6,22.26,21.53,22.11,48336250.0,1089235201.0,1035914811.0,0.04666044880016683,0.024559777571825814,-0.019946808510638236,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-13,21.78,22.86,21.54,22.74,65676363.0,1510585056.0,1035914811.0,0.06339938603310499,0.028493894165535938,-0.009581881533101133,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-14,22.97,23.31,22.5,22.59,60335727.0,1410443808.0,1035914811.0,0.05824390805046613,-0.00659630606860151,0.008932559178204569,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
2020-01-15,22.7,24.01,22.56,23.55,83078861.0,1969641329.0,1035914811.0,0.08019854539950197,0.04249667994687911,0.1161137440758293,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,
