date,open,high,low,close,volume,amount,outstanding_share,turnover,stock_return,BuyHold,ma_short,ma_long,ma_position,ma_return,MA20_MA60,momentum_20,momentum_20_position,momentum_20_return,Momentum_20,breakout_upper,breakout_lower,breakout_position,breakout_return,Breakout,z_mean,z_std,zscore,zscore_position,zscore_return,ZScoreMeanReversion,bb_mid,bb_std,bb_upper,bb_lower,bb_position,bb_return,BollingerBands
2020-01-02,21.58,22.88,21.28,22.52,59706353.0,1364459563.0,1035914811.0,0.057636354231062344,0.0,1.0,,,0.0,0.0,1.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-03,22.65,23.04,21.87,22.56,54787378.0,1261416122.0,1035914811.0,0.052887918406255896,0.001776198934280604,1.0017761989342806,,,0.0,0.0,1.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-06,22.36,23.37,22.09,22.96,65388993.0,1534784505.0,1035914811.0,0.06312197905238755,0.0177304964539009,1.019538188277087,,,0.0,0.0,1.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-07,22.99,23.0,21.99,22.39,68532475.0,1568869490.0,1035914811.0,0.0661564776102038,-0.024825783972125426,0.994227353463588,,,0.0,-0.0,1.0,,0.0,-0.0,1.0,,,0.0,-0.0,1.0,,,,0.0,-0.0,1.0,,,,,0.0,-0.0,1.0
2020-01-08,22.01,22.01,21.01,21.1,71653575.0,1566318506.0,1035914811.0,0.06916937014427917,-0.057615006699419324,0.9369449378330375,,,0.0,-0.0,1.0,,0.0,-0.0,1.0,,,0.0,-0.0,1.0,,,,0.0,-0.0,1.0,,,,,0.0,-0.0,1.0
2020-01-09,21.38,21.74,21.23,21.58,37094575.0,815925409.0,1035914811.0,0.035808518814584266,0.022748815165876568,0.9582593250444049,,,0.0,0.0,1.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-10,21.6,22.26,21.53,22.11,48336250.0,1089235201.0,1035914811.0,0.04666044880016683,0.024559777571825814,0.9817939609236235,,,0.0,0.0,1.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-13,21.78,22.86,21.54,22.74,65676363.0,1510585056.0,1035914811.0,0.06339938603310499,0.028493894165535938,1.0097690941385435,,,0.0,0.0,1.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-14,22.97,23.31,22.5,22.59,60335727.0,1410443808.0,1035914811.0,0.05824390805046613,-0.00659630606860151,1.0031083481349912,,,0.0,-0.0,1.0,,0.0,-0.0,1.0,,,0.0,-0.0,1.0,,,,0.0,-0.0,1.0,,,,,0.0,-0.0,1.0
2020-01-15,22.7,24.01,22.56,23.55,83078861.0,1969641329.0,1035914811.0,0.08019854539950197,0.04249667994687911,1.0457371225577266,,,0.0,0.0,1.0,,0.0,0.0,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-16,23.33,23.92,22.99,23.53,70940479.0,1703871140.0,1035914811.0,0.0684809969378843,-0.000849256900212314,1.0448490230905862,,,0.0,-0.0,1.0,,0.0,-0.0,1.0,,21.01,0.0,-0.0,1.0,,,,0.0,-0.0,1.0,,,,,0.0,-0.0,1.0
2020-01-17,23.44,23.82,22.85,23.14,46348058.0,1105087592.0,1035914811.0,0.044741186734514216,-0.016574585635359185,1.02753108348135,,,0.0,-0.0,1.0,,0.0,-0.0,1.0,,21.01,0.0,-0.0,1.0,,,,0.0,-0.0,1.0,,,,,0.0,-0.0,1.0
2020-01-20,23.03,24.5,22.83,24.23,74608216.0,1826608977.0,1035914811.0,0.07202157475476041,0.04710458081244595,1.0759325044404975,,,0.0,0.0,1.0,,0.0,0.0,1.0,,21.01,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-21,24.04,24.68,23.85,23.92,58679672.0,1454888755.0,1035914811.0,0.05664526790900377,-0.012794056954189004,1.0621669626998225,,,0.0,-0.0,1.0,,0.0,-0.0,1.0,,21.01,0.0,-0.0,1.0,,,,0.0,-0.0,1.0,,,,,0.0,-0.0,1.0
2020-01-22,23.62,25.46,23.14,25.38,81527929.0,2047259453.0,1035914811.0,0.07870138367970492,0.061036789297658656,1.1269982238010656,,,0.0,0.0,1.0,,0.0,0.0,1.0,,21.01,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-01-23,24.98,26.97,24.89,25.62,115494978.0,3049205535.0,1035914811.0,0.11149080674742858,0.009456264775413725,1.1376554174067495,,,0.0,0.0,1.0,,0.0,0.0,1.0,,21.23,0.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,0.0,0.0,1.0
2020-02-03,23.06,23.06,23.06,23.06,10968400.0,259073608.0,1035914811.0,0.010588129336052132,-0.09992193598750987,1.0239786856127884,,,0.0,-0.0,1.0,,0.0,-0.0,1.0,,21.53,0.0,-0.0,1.0,,,,0.0,-0.0,1.0,,,,,0.0,-0.0,1.0
